C maximal rule for r=a:bc;s=a:bdr; ars,brs,crs,drs
I12857.32] Elapsed: 3:34:17, vertices: 677, facets final: 6674, pending: 304177, pool: 50
I12914.40] Elapsed: 3:35:14, vertices: 678, facets final: 6674, pending: 308465, pool: 50
I12976.93] Elapsed: 3:36:17, vertices: 679, facets final: 6674, pending: 316007, pool: 49
I13016.78] Elapsed: 3:36:57, vertices: 680, facets final: 6674, pending: 311029, pool: 48
I13057.77] Elapsed: 3:37:38, vertices: 681, facets final: 6674, pending: 312573, pool: 47
I13146.76] Elapsed: 3:39:07, vertices: 682, facets final: 6675, pending: 305032, pool: 50
I13227.85] Elapsed: 3:40:28, vertices: 683, facets final: 6675, pending: 305802, pool: 50
I13293.64] Elapsed: 3:41:34, vertices: 684, facets final: 6675, pending: 309902, pool: 50
I13411.98] Elapsed: 3:43:32, vertices: 685, facets final: 6675, pending: 282773, pool: 50
I13448.36] Elapsed: 3:44:08, vertices: 686, facets final: 6675, pending: 275843, pool: 50
I13480.34] Elapsed: 3:44:40, vertices: 687, facets final: 6676, pending: 266613, pool: 50
I13512.13] Elapsed: 3:45:12, vertices: 688, facets final: 6678, pending: 265239, pool: 49
I13549.70] Elapsed: 3:45:50, vertices: 689, facets final: 6678, pending: 256735, pool: 49
I13589.03] Elapsed: 3:46:29, vertices: 690, facets final: 6678, pending: 256461, pool: 48
I13623.07] Elapsed: 3:47:03, vertices: 691, facets final: 6678, pending: 255331, pool: 47
I13691.03] Elapsed: 3:48:11, vertices: 692, facets final: 6679, pending: 250638, pool: 47
I13746.84] Elapsed: 3:49:07, vertices: 693, facets final: 6681, pending: 241228, pool: 50
I13771.74] Elapsed: 3:49:32, vertices: 694, facets final: 6681, pending: 239700, pool: 50
I13811.05] Elapsed: 3:50:11, vertices: 695, facets final: 6681, pending: 243687, pool: 49
I13844.27] Elapsed: 3:50:44, vertices: 696, facets final: 6682, pending: 242057, pool: 49
I13867.94] Elapsed: 3:51:08, vertices: 697, facets final: 6683, pending: 238395, pool: 50
I13888.45] Elapsed: 3:51:28, vertices: 698, facets final: 6685, pending: 231956, pool: 49
I13911.69] Elapsed: 3:51:52, vertices: 699, facets final: 6689, pending: 224606, pool: 50
I13911.98] recalculating facets...
I13936.07] Elapsed: 3:52:16, vertices: 700, facets final: 6689, pending: 218659, pool: 50
I13954.94] Elapsed: 3:52:35, vertices: 701, facets final: 6691, pending: 215565, pool: 49
I13974.40] Elapsed: 3:52:54, vertices: 702, facets final: 6691, pending: 213253, pool: 50
I13991.53] Elapsed: 3:53:12, vertices: 703, facets final: 6691, pending: 209910, pool: 50
I14008.00] Elapsed: 3:53:28, vertices: 704, facets final: 6691, pending: 208456, pool: 49
I14028.83] Elapsed: 3:53:49, vertices: 705, facets final: 6692, pending: 206610, pool: 50
I14047.65] Elapsed: 3:54:08, vertices: 706, facets final: 6692, pending: 202870, pool: 50
I14075.20] Elapsed: 3:54:35, vertices: 707, facets final: 6692, pending: 209069, pool: 50
I14105.20] Elapsed: 3:55:05, vertices: 708, facets final: 6692, pending: 208229, pool: 50
I14129.50] Elapsed: 3:55:30, vertices: 709, facets final: 6692, pending: 203775, pool: 49
I14144.56] Elapsed: 3:55:45, vertices: 710, facets final: 6693, pending: 201930, pool: 50
I14157.79] Elapsed: 3:55:58, vertices: 711, facets final: 6694, pending: 198641, pool: 50
I14174.37] Elapsed: 3:56:14, vertices: 712, facets final: 6697, pending: 199859, pool: 50
I14214.23] Elapsed: 3:56:54, vertices: 713, facets final: 6697, pending: 197740, pool: 50
I14238.20] Elapsed: 3:57:18, vertices: 714, facets final: 6697, pending: 197840, pool: 49
I14256.24] Elapsed: 3:57:36, vertices: 715, facets final: 6697, pending: 195490, pool: 48
I14272.73] Elapsed: 3:57:53, vertices: 716, facets final: 6697, pending: 201358, pool: 48
I14284.04] Elapsed: 3:58:04, vertices: 717, facets final: 6697, pending: 199748, pool: 47
I14294.52] Elapsed: 3:58:15, vertices: 718, facets final: 6698, pending: 196019, pool: 49
I14305.20] Elapsed: 3:58:25, vertices: 719, facets final: 6698, pending: 196243, pool: 50
I14318.88] Elapsed: 3:58:39, vertices: 720, facets final: 6698, pending: 200319, pool: 50
I14331.80] Elapsed: 3:58:52, vertices: 721, facets final: 6699, pending: 200136, pool: 49
I14344.66] Elapsed: 3:59:05, vertices: 722, facets final: 6699, pending: 196320, pool: 49
I14367.22] Elapsed: 3:59:27, vertices: 723, facets final: 6700, pending: 196526, pool: 50
I14380.24] Elapsed: 3:59:40, vertices: 724, facets final: 6700, pending: 193710, pool: 50
I14391.05] Elapsed: 3:59:51, vertices: 725, facets final: 6702, pending: 191780, pool: 50
I14401.10] Elapsed: 4:00:01, vertices: 726, facets final: 6703, pending: 187163, pool: 50
I14436.74] Elapsed: 4:00:37, vertices: 728, facets final: 6705, pending: 173585, pool: 50
I14446.80] Elapsed: 4:00:47, vertices: 729, facets final: 6706, pending: 170426, pool: 50
I14464.43] Elapsed: 4:01:04, vertices: 731, facets final: 6708, pending: 174962, pool: 49
I14478.74] Elapsed: 4:01:19, vertices: 732, facets final: 6708, pending: 170590, pool: 50
I14500.23] Elapsed: 4:01:40, vertices: 734, facets final: 6709, pending: 168855, pool: 50
I14511.88] Elapsed: 4:01:52, vertices: 735, facets final: 6709, pending: 169061, pool: 50
I14531.14] Elapsed: 4:02:11, vertices: 737, facets final: 6710, pending: 178653, pool: 48
I14542.61] Elapsed: 4:02:23, vertices: 738, facets final: 6710, pending: 177015, pool: 48
I14558.64] Elapsed: 4:02:39, vertices: 740, facets final: 6711, pending: 171734, pool: 46
I14578.01] Elapsed: 4:02:58, vertices: 742, facets final: 6715, pending: 170714, pool: 47
I14592.59] Elapsed: 4:03:13, vertices: 744, facets final: 6719, pending: 169066, pool: 46
I14606.23] Elapsed: 4:03:26, vertices: 745, facets final: 6721, pending: 162916, pool: 50
I14616.71] Elapsed: 4:03:37, vertices: 746, facets final: 6721, pending: 159312, pool: 49
I14630.45] Elapsed: 4:03:50, vertices: 748, facets final: 6722, pending: 153692, pool: 48
I14647.56] Elapsed: 4:04:08, vertices: 750, facets final: 6729, pending: 153539, pool: 50
I14658.50] Elapsed: 4:04:19, vertices: 752, facets final: 6730, pending: 150102, pool: 50
I14679.06] Elapsed: 4:04:39, vertices: 755, facets final: 6732, pending: 147574, pool: 48
I14690.29] Elapsed: 4:04:50, vertices: 757, facets final: 6733, pending: 142761, pool: 49
I14702.89] Elapsed: 4:05:03, vertices: 759, facets final: 6740, pending: 140666, pool: 49
I14713.10] Elapsed: 4:05:13, vertices: 761, facets final: 6742, pending: 138803, pool: 48
I14724.82] Elapsed: 4:05:25, vertices: 764, facets final: 6745, pending: 133997, pool: 47
I14736.56] Elapsed: 4:05:37, vertices: 765, facets final: 6746, pending: 135532, pool: 48
I14750.01] Elapsed: 4:05:50, vertices: 767, facets final: 6750, pending: 132257, pool: 50
I14765.25] Elapsed: 4:06:05, vertices: 770, facets final: 6755, pending: 129644, pool: 49
I14776.52] Elapsed: 4:06:17, vertices: 773, facets final: 6760, pending: 126425, pool: 46
I14790.25] Elapsed: 4:06:30, vertices: 775, facets final: 6769, pending: 125313, pool: 49
I14804.17] Elapsed: 4:06:44, vertices: 777, facets final: 6771, pending: 121130, pool: 49
I14814.63] Elapsed: 4:06:55, vertices: 779, facets final: 6775, pending: 119592, pool: 48
I14827.16] Elapsed: 4:07:07, vertices: 782, facets final: 6777, pending: 114720, pool: 48
I14837.82] Elapsed: 4:07:18, vertices: 784, facets final: 6779, pending: 115422, pool: 46
I14850.25] Elapsed: 4:07:30, vertices: 785, facets final: 6780, pending: 110143, pool: 47
I14860.64] Elapsed: 4:07:41, vertices: 789, facets final: 6794, pending: 104505, pool: 47
I14870.74] Elapsed: 4:07:51, vertices: 791, facets final: 6805, pending: 100550, pool: 50
I14881.97] Elapsed: 4:08:02, vertices: 795, facets final: 6812, pending: 98775, pool: 47
I14893.16] Elapsed: 4:08:13, vertices: 799, facets final: 6819, pending: 96158, pool: 45
I14893.36] recalculating facets...
I14903.64] Elapsed: 4:08:24, vertices: 802, facets final: 6823, pending: 94890, pool: 43
I14914.89] Elapsed: 4:08:35, vertices: 806, facets final: 6833, pending: 89506, pool: 41
I14926.62] Elapsed: 4:08:47, vertices: 811, facets final: 6850, pending: 86697, pool: 48
I14936.79] Elapsed: 4:08:57, vertices: 817, facets final: 6879, pending: 83073, pool: 47
I14947.37] Elapsed: 4:09:07, vertices: 825, facets final: 6910, pending: 78104, pool: 42
I14958.30] Elapsed: 4:09:18, vertices: 833, facets final: 6948, pending: 73284, pool: 43
I14968.82] Elapsed: 4:09:29, vertices: 843, facets final: 6999, pending: 71256, pool: 35
I14992.91] Elapsed: 4:09:53, vertices: 845, facets final: 7016, pending: 146392, pool: 34
I15103.78] Elapsed: 4:11:44, vertices: 846, facets final: 7016, pending: 165725, pool: 33
I15541.56] Elapsed: 4:19:02, vertices: 847, facets final: 7020, pending: 203306, pool: 37
I15913.55] Elapsed: 4:25:14, vertices: 848, facets final: 7023, pending: 286296, pool: 37
I16691.27] Elapsed: 4:38:11, vertices: 849, facets final: 7026, pending: 401242, pool: 40
I17197.92] Elapsed: 4:46:38, vertices: 850, facets final: 7029, pending: 388779, pool: 41
I17950.45] Elapsed: 4:59:10, vertices: 851, facets final: 7032, pending: 463262, pool: 42
I19198.24] Elapsed: 5:19:58, vertices: 852, facets final: 7034, pending: 624268, pool: 47
I20845.19] Elapsed: 5:47:25, vertices: 853, facets final: 7034, pending: 727430, pool: 48
I22801.76] Elapsed: 6:20:02, vertices: 854, facets final: 7035, pending: 732174, pool: 47
I24200.20] Elapsed: 6:43:20, vertices: 855, facets final: 7037, pending: 886351, pool: 48
I25939.05] Elapsed: 7:12:19, vertices: 856, facets final: 7038, pending: 944507, pool: 50
I28593.93] Elapsed: 7:56:34, vertices: 857, facets final: 7038, pending: 1154782, pool: 50
I31344.39] Elapsed: 8:42:24, vertices: 858, facets final: 7039, pending: 1099390, pool: 50
I34955.54] Elapsed: 9:42:36, vertices: 859, facets final: 7039, pending: 1152874, pool: 50
