C maximal rule for r=c:ab;s=b:adr; rs,bs,cs,ds
C MOLP problem=22-43-213-c.vlp, minimize
C rows=43, columns=213, objectives=22
I22356.08] Elapsed: 6:12:36, vertices: 203, facets final: 51, pending: 652864, eq: 16772, out: 22470, in: 8769, pool: 149
I22711.01] Elapsed: 6:18:31, vertices: 204, facets final: 51, pending: 681882, eq: 27786, out: 21244, in: 50262, pool: 148
I23292.67] Elapsed: 6:28:13, vertices: 205, facets final: 51, pending: 682902, eq: 20671, out: 32855, in: 33875, pool: 148
I24247.62] Elapsed: 6:44:08, vertices: 206, facets final: 51, pending: 680102, eq: 34260, out: 59723, in: 56923, pool: 148
I24835.95] Elapsed: 6:53:56, vertices: 207, facets final: 51, pending: 743160, eq: 22958, out: 31349, in: 94407, pool: 148
I25956.40] Elapsed: 7:12:36, vertices: 208, facets final: 51, pending: 802658, eq: 9530, out: 51157, in: 110655, pool: 150
I27044.15] Elapsed: 7:30:44, vertices: 209, facets final: 51, pending: 882151, eq: 15985, out: 48947, in: 128440, pool: 150
I28760.89] Elapsed: 7:59:21, vertices: 210, facets final: 51, pending: 910151, eq: 35773, out: 71164, in: 99164, pool: 149
I30169.56] Elapsed: 8:22:50, vertices: 211, facets final: 51, pending: 974695, eq: 31997, out: 59988, in: 124532, pool: 150
I31943.85] Elapsed: 8:52:24, vertices: 212, facets final: 51, pending: 1054459, eq: 28471, out: 67699, in: 147463, pool: 149
I34935.85] Elapsed: 9:42:16, vertices: 213, facets final: 52, pending: 1135603, eq: 28324, out: 111983, in: 193128, pool: 149
I38001.13] Elapsed: 10:33:21, vertices: 214, facets final: 52, pending: 1157445, eq: 41031, out: 118314, in: 140156, pool: 149
I42032.56] Elapsed: 11:40:33, vertices: 215, facets final: 53, pending: 1139693, eq: 58851, out: 157511, in: 139760, pool: 150
I45333.98] Elapsed: 12:35:34, vertices: 216, facets final: 53, pending: 1269379, eq: 20200, out: 105541, in: 235227, pool: 150
I48802.34] Elapsed: 13:33:22, vertices: 217, facets final: 53, pending: 1270118, eq: 27289, out: 110286, in: 111025, pool: 150
I52490.05] Elapsed: 14:34:50, vertices: 218, facets final: 53, pending: 1277429, eq: 40924, out: 124968, in: 132279, pool: 150
I55072.15] Elapsed: 15:17:52, vertices: 219, facets final: 53, pending: 1253766, eq: 53144, out: 86660, in: 62997, pool: 149
I57020.17] Elapsed: 15:50:20, vertices: 220, facets final: 53, pending: 1232624, eq: 30934, out: 69311, in: 48169, pool: 150
I59002.60] Elapsed: 16:23:23, vertices: 221, facets final: 53, pending: 1229701, eq: 47877, out: 67869, in: 64946, pool: 149
I61219.60] Elapsed: 17:00:20, vertices: 222, facets final: 53, pending: 1264634, eq: 35609, out: 66460, in: 101393, pool: 150
I63418.31] Elapsed: 17:36:58, vertices: 223, facets final: 53, pending: 1264335, eq: 30706, out: 66198, in: 65899, pool: 149
I65448.18] Elapsed: 18:10:48, vertices: 224, facets final: 53, pending: 1331914, eq: 23132, out: 57031, in: 124610, pool: 149
I67279.30] Elapsed: 18:41:19, vertices: 225, facets final: 53, pending: 1326566, eq: 36997, out: 59965, in: 54617, pool: 150
I69175.10] Elapsed: 19:12:55, vertices: 226, facets final: 53, pending: 1326602, eq: 63944, out: 60064, in: 60100, pool: 149
I71957.46] Elapsed: 19:59:17, vertices: 227, facets final: 53, pending: 1311752, eq: 43076, out: 96477, in: 81627, pool: 149
I75396.08] Elapsed: 20:56:36, vertices: 228, facets final: 53, pending: 1271374, eq: 54104, out: 114693, in: 74315, pool: 150
I77571.59] Elapsed: 21:32:52, vertices: 229, facets final: 53, pending: 1269967, eq: 56718, out: 73613, in: 72206, pool: 150
I79849.81] Elapsed: 22:10:50, vertices: 230, facets final: 53, pending: 1242642, eq: 35385, out: 75829, in: 48504, pool: 150
I81322.39] Elapsed: 22:35:22, vertices: 231, facets final: 53, pending: 1274444, eq: 26337, out: 42631, in: 74433, pool: 149
I84840.87] Elapsed: 23:34:01, vertices: 232, facets final: 53, pending: 1230201, eq: 53748, out: 113984, in: 69741, pool: 150
I86727.01] Elapsed: 1d00:05:27, vertices: 233, facets final: 53, pending: 1184728, eq: 33728, out: 59645, in: 14172, pool: 150
I91061.62] Elapsed: 1d01:17:42, vertices: 234, facets final: 53, pending: 1157094, eq: 61693, out: 133618, in: 105984, pool: 150
I92142.06] Elapsed: 1d01:35:42, vertices: 235, facets final: 53, pending: 1128819, eq: 50643, out: 40026, in: 11751, pool: 149
I94138.74] Elapsed: 1d02:08:59, vertices: 236, facets final: 53, pending: 1131108, eq: 25222, out: 63935, in: 66224, pool: 150
I95235.80] Elapsed: 1d02:27:16, vertices: 237, facets final: 53, pending: 1103440, eq: 16219, out: 37876, in: 10208, pool: 149
I97168.88] Elapsed: 1d02:59:29, vertices: 238, facets final: 53, pending: 1204994, eq: 28490, out: 56468, in: 158022, pool: 149
I101096.47] Elapsed: 1d04:04:56, vertices: 239, facets final: 53, pending: 1265279, eq: 38400, out: 134826, in: 195111, pool: 150
I103677.84] Elapsed: 1d04:47:58, vertices: 240, facets final: 53, pending: 1334637, eq: 27242, out: 72745, in: 142103, pool: 150
I105290.01] Elapsed: 1d05:14:50, vertices: 241, facets final: 53, pending: 1334835, eq: 31188, out: 44735, in: 44933, pool: 150
I106766.18] Elapsed: 1d05:39:26, vertices: 242, facets final: 53, pending: 1303807, eq: 39024, out: 43068, in: 12040, pool: 150
I108118.62] Elapsed: 1d06:01:59, vertices: 243, facets final: 53, pending: 1278220, eq: 33884, out: 42154, in: 16567, pool: 150
I110826.07] Elapsed: 1d06:47:06, vertices: 244, facets final: 53, pending: 1281306, eq: 50293, out: 85215, in: 88301, pool: 150
